Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
0_BehnkeGeiger55,50,60, 17.54,4635.0000,0.2923,1354.9650
0_BehnkeGeiger54,50,60, 17.57,4642.5000,0.2928,1359.4787
0_BehnkeGeiger52,50,60, 18.13,4782.5000,0.3022,1445.1121
0_BehnkeGeiger51,50,60, 18.67,4917.5000,0.3112,1530.1621
0_BehnkeGeiger53,50,60, 18.69,4922.5000,0.3115,1533.3587
0_BehnkeGeiger40,100,40, 12.04,6520.0000,0.3010,1962.5200
0_BehnkeGeiger37,100,40, 12.20,6600.0000,0.3050,2013.0000
0_BehnkeGeiger36,100,40, 12.45,6725.0000,0.3112,2093.1562
0_BehnkeGeiger39,100,40, 12.51,6755.0000,0.3127,2112.6263
0_BehnkeGeiger38,100,40, 12.71,6855.0000,0.3178,2178.1763
0_BehnkeGeiger60,100,60, 17.65,9325.0000,0.2942,2743.1042
0_BehnkeGeiger59,100,60, 18.22,9610.0000,0.3037,2918.2367
0_BehnkeGeiger56,100,60, 18.52,9760.0000,0.3087,3012.5867
0_BehnkeGeiger57,100,60, 18.70,9850.0000,0.3117,3069.9167
0_BehnkeGeiger58,100,60, 19.50,10250.0000,0.3250,3331.2500
