Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
2c_Hurink_rdata38,30,10, 2,900.0000,0.2000,180.0000
1_Brandimarte10,20,15, 3,960.0000,0.2000,192.0000
2d_Hurink_vdata54,8,9, 4.50,396.0000,0.5000,198.0000
0_BehnkeGeiger10,20,20, 6.12,712.0000,0.3060,217.8720
0_BehnkeGeiger42,10,60, 15.68,834.0000,0.2613,217.9520
1_Brandimarte3,15,8, 3,600.0000,0.3750,225.0000
1_Brandimarte15,30,15, 3.03169014084507,1145.0000,0.2021,231.4190
0_BehnkeGeiger22,10,40, 13.12,706.0000,0.3280,231.5680
5_Kacem2,10,7, 7,232.0000,1.0000,232.0000
0_BehnkeGeiger8,20,20, 6.44,744.0000,0.3220,239.5680
0_BehnkeGeiger9,20,20, 6.44,744.0000,0.3220,239.5680
1_Brandimarte7,20,5, 3,400.0000,0.6000,240.0000
0_BehnkeGeiger7,20,20, 6.52,752.0000,0.3260,245.1520
0_BehnkeGeiger6,20,20, 6.68,768.0000,0.3340,256.5120
0_BehnkeGeiger23,10,40, 13.92,746.0000,0.3480,259.6080
1_Brandimarte9,20,10, 3,960.0000,0.3000,288.0000
2d_Hurink_vdata63,10,10, 5.00,594.0000,0.5000,297.0000
