Source;Instance;BestObjective;Gap;Status;NExploredSolutions;OptimizationTime;OverallTime
0_BehnkeGeiger;1;90.0;0.0;2;158083.0;309.80200004577637;309.9902822971344
0_BehnkeGeiger;2;91.0;0.0;2;175969.0;220.010999917984;220.22978830337524
0_BehnkeGeiger;3;91.0;0.0;2;87914.0;298.82100009918213;299.0082869529724
0_BehnkeGeiger;4;96.99999999019992;0.04123711330519641;9;2042111.0;1800.0169999599457;1800.2518231868744
0_BehnkeGeiger;5;90.99999999079995;0.03296703286926646;9;2708987.0;1800.0139999389648;1800.3578624725342
0_BehnkeGeiger;6;141.99999998569888;0.4366197182531201;9;316267.0;1800.0539999008179;1801.3344540596008
0_BehnkeGeiger;7;144.99999998539982;0.41328150102917255;9;144931.0;1800.0720000267029;1801.319293498993
0_BehnkeGeiger;8;137.9999999860999;0.44927536226336856;9;528464.0;1800.0460000038147;1801.0374796390533
0_BehnkeGeiger;9;129.99999995263633;0.40646420107783904;9;308150.0;1800.0490000247955;1801.4600296020508
0_BehnkeGeiger;10;139.99999998589817;0.3886297092784922;9;225347.0;1800.0639998912811;1801.0763828754425
0_BehnkeGeiger;11;293.9999999704994;0.7176870748016072;9;4758.0;1800.300999879837;1805.7448780536652
0_BehnkeGeiger;12;297.99999999999494;0.7292502561848945;9;3174.0;1800.2809998989105;1805.7363748550415
0_BehnkeGeiger;13;277.999999944194;0.7033535034799117;9;3154.0;1800.2430000305176;1805.5641975402832
0_BehnkeGeiger;14;318.99999993599977;0.7178683385013903;9;10471.0;1800.1800000667572;1804.8596663475037
0_BehnkeGeiger;15;296.9997890316003;0.7104375047524032;9;12069.0;1800.1929998397827;1805.2154395580292
0_BehnkeGeiger;16;600.9999999999559;0.856905158069873;9;272.0;1800.654000043869;1822.1617176532745
0_BehnkeGeiger;17;595.9999999999593;0.8674496644295211;9;81.0;1800.491000175476;1821.2991998195648
0_BehnkeGeiger;18;680.9999999999474;0.8707782672540282;9;201.0;1800.5179998874664;1820.8690493106842
0_BehnkeGeiger;19;543.999999999988;0.8511029411764673;9;694.0;1800.4900000095367;1821.5007138252258
0_BehnkeGeiger;20;628.0;0.8678343949044586;9;504.0;1800.5929999351501;1820.8885850906372
0_BehnkeGeiger;21;87.99999999109998;0.09090909081714858;9;505474.0;1800.0329999923706;1800.7672109603882
0_BehnkeGeiger;22;87.0;0.0;2;107355.0;594.1269998550415;594.6584801673889
0_BehnkeGeiger;23;85.0;0.0;2;74280.0;304.8200001716614;305.2724187374115
0_BehnkeGeiger;24;87.0;0.0;2;691451.0;1222.6870000362396;1222.9831726551056
0_BehnkeGeiger;25;86.99999903012163;0.06896550686218189;9;922555.0;1800.029000043869;1800.32572555542
0_BehnkeGeiger;26;117.99999999999993;0.3728813559321999;9;89238.0;1800.0969998836517;1801.7527663707733
0_BehnkeGeiger;27;128.99999998699985;0.3720930231925358;9;201308.0;1800.0659999847412;1801.4720318317413
0_BehnkeGeiger;28;120.99999998779947;0.3884297520044508;9;56007.0;1800.1909999847412;1802.1907143592834
0_BehnkeGeiger;29;123.99999999999899;0.3870967741935426;9;95831.0;1800.1080000400543;1802.0133888721466
0_BehnkeGeiger;30;122.99999998759985;0.3414634145677565;9;68188.0;1800.1960000991821;1801.867827653885
0_BehnkeGeiger;31;282.0000000000001;0.7163120567375888;9;2145.0;1800.7620000839233;1810.7121148109436
0_BehnkeGeiger;32;263.00000000001035;0.7034220532319508;9;2802.0;1800.3359999656677;1809.1940970420837
0_BehnkeGeiger;33;261.9999999999961;0.7119747327628174;9;2618.0;1800.6100001335144;1809.561100244522
0_BehnkeGeiger;34;272.9999999725942;0.7133609985767952;9;3105.0;1800.7389998435974;1809.8713493347168
0_BehnkeGeiger;35;254.0000000000003;0.6853374906111614;9;2320.0;1800.4609999656677;1809.708105802536
0_BehnkeGeiger;36;467.9999999999998;0.8354700854700854;9;61.0;1800.8280000686646;1837.9293892383575
0_BehnkeGeiger;37;621.9999999998411;0.8778135048231199;9;297.0;1801.0479998588562;1836.742803812027
0_BehnkeGeiger;38;446.99999999999346;0.8277404921700199;9;31.0;1800.9079999923706;1839.6646473407745
0_BehnkeGeiger;39;477.99999999999085;0.8221757322175698;9;106.0;1800.7860000133514;1838.6538784503937
0_BehnkeGeiger;40;503.9999999999986;0.8333333333333328;9;749.0;1800.800999879837;1835.793165922165
0_BehnkeGeiger;41;86.99999999119997;0.05747126427247953;9;114528.0;1800.042000055313;1801.1486704349518
0_BehnkeGeiger;42;86.99999925054927;0.011494244358202708;9;712018.0;1800.03400015831;1800.4245841503143
0_BehnkeGeiger;43;86.0;0.0;2;62715.0;763.2030000686646;763.7658333778381
0_BehnkeGeiger;44;84.0;0.0;2;123617.0;1235.6289999485016;1236.1920223236084
0_BehnkeGeiger;45;87.0;0.0;2;263529.0;1581.7460000514984;1582.37055850029
0_BehnkeGeiger;46;119.99999995159932;0.3916666664213021;9;162689.0;1800.0970001220703;1801.5811245441437
0_BehnkeGeiger;47;121.99999998769995;0.3770491802650629;9;90056.0;1800.1070001125336;1802.4536011219025
0_BehnkeGeiger;48;127.99999998710004;0.4062499999401613;9;92885.0;1800.0989999771118;1802.1306536197662
0_BehnkeGeiger;49;115.99999998829999;0.3793103447649824;9;45113.0;1800.1640000343323;1802.2726073265076
0_BehnkeGeiger;50;124.99999998739997;0.407999999940318;9;13655.0;1800.1549999713898;1802.8114988803864
0_BehnkeGeiger;51;264.9999998675777;0.7132075470264991;9;2687.0;1800.380000114441;1814.2364835739136
