Source;Instance;Runtime;Optimal;ExpectedFitness;ObtainedFitness
5_Kacem;1;0.03600001335144043;True;11;11.0
5_Kacem;1;0.026999950408935547;True;11;11.0
5_Kacem;1;0.029000043869018555;True;11;11.0
5_Kacem;1;0.031999826431274414;True;11;11.0
5_Kacem;1;0.02500009536743164;True;11;11.0
5_Kacem;4;10.062000036239624;False;12;11.999999998699863
5_Kacem;4;10.05299997329712;False;12;11.999999998699863
5_Kacem;4;10.035000085830688;False;12;11.999999998699863
5_Kacem;4;10.049000024795532;False;12;10.999999999999995
5_Kacem;4;10.062999963760376;False;12;11.999999998699863
5_Kacem;1;0.029999971389770508;True;11;11.0
5_Kacem;1;0.026000022888183594;True;11;11.0
5_Kacem;1;0.024000167846679688;True;11;11.0
5_Kacem;1;0.026999950408935547;True;11;11.0
5_Kacem;1;0.029999971389770508;True;11;11.0
5_Kacem;4;10.052000045776367;False;12;11.999999998699863
5_Kacem;4;10.079999923706055;False;12;11.999999998699863
5_Kacem;4;10.050000190734863;False;12;11.999999998699863
5_Kacem;4;4.1559998989105225;False;12;11.999999999999876
5_Kacem;1;0.042999982833862305;True;11;11.0
5_Kacem;1;0.029999971389770508;True;11;11.0
5_Kacem;1;0.023000001907348633;True;11;11.0
5_Kacem;1;0.026999950408935547;True;11;11.0
5_Kacem;1;0.026000022888183594;True;11;11.0
5_Kacem;4;10.070000171661377;False;12;11.999999998699863
5_Kacem;4;10.049999952316284;False;12;10.999999999999995
5_Kacem;4;10.055999994277954;False;12;11.999999998699863
5_Kacem;4;10.038000106811523;False;12;11.999999998699863
5_Kacem;4;10.042999982833862;False;12;11.999999998699863
5_Kacem;1;0.04700016975402832;True;11;11.0
5_Kacem;1;0.026000022888183594;True;11;11.0
5_Kacem;1;0.0279998779296875;True;11;11.0
5_Kacem;1;0.0279998779296875;True;11;11.0
5_Kacem;1;0.029999971389770508;True;11;11.0
5_Kacem;4;10.04099988937378;False;12;10.999999999999995
5_Kacem;4;10.047999858856201;False;12;11.999999998699863
5_Kacem;4;10.055000066757202;False;12;11.999999998699863
5_Kacem;4;10.04099988937378;False;12;11.999999998699863
5_Kacem;4;10.05400013923645;False;12;11.999999998699863
5_Kacem;1;0.03699994087219238;True;11;11.0
5_Kacem;1;0.03500008583068848;True;11;11.0
5_Kacem;1;0.029999971389770508;True;11;11.0
5_Kacem;1;0.02700018882751465;True;11;11.0
5_Kacem;1;0.02500009536743164;True;11;11.0
5_Kacem;4;3.2899999618530273;False;12;12.999999998599998
5_Kacem;4;2.6050000190734863;False;12;13.0
5_Kacem;1;0.02500009536743164;True;11;11.0
5_Kacem;1;0.020999908447265625;True;11;11.0
5_Kacem;1;0.018999814987182617;True;11;11.0
5_Kacem;1;0.019999980926513672;True;11;11.0
5_Kacem;1;0.018000125885009766;True;11;11.0
5_Kacem;4;10.046000003814697;False;12;10.999999999999995
5_Kacem;4;5.33899998664856;False;12;11.999999998699863
5_Kacem;1;0.021000146865844727;True;11;11.0
5_Kacem;4;10.050000190734863;False;12;10.999999999999995
5_Kacem;1;0.021999835968017578;True;11;11.0
5_Kacem;4;10.065999984741211;False;12;11.999999998699863
5_Kacem;1;0.023000001907348633;True;11;11.0
5_Kacem;4;10.04699993133545;False;12;10.999999999999995
5_Kacem;1;0.01699995994567871;True;11;11.0
5_Kacem;4;10.04800009727478;False;12;10.999999999999995
5_Kacem;1;0.029000043869018555;True;11;11.0
5_Kacem;4;20.03499984741211;False;12;10.999999999999995
5_Kacem;1;0.02200007438659668;True;11;11.0
5_Kacem;4;60.09599995613098;False;12;10.999999001198972
5_Kacem;1;0.02499985694885254;True;11;11.0
5_Kacem;4;10.037999868392944;False;12;11.999999998699863
5_Kacem;1;0.031999826431274414;True;11;11.0
5_Kacem;4;10.04699993133545;False;12;10.999999999999995
5_Kacem;1;0.0279998779296875;True;11;11.0
5_Kacem;4;20.102999925613403;False;12;10.999999999999995
