Source;Instance;Runtime;Function-Evaluations;Generations;Restarts;Best-Fitness;Adjustable
--------------------------------------------------------
20% ELITISM, TOURNAMENT SELECTION
--------------------------------------------------------
6_Fattahi;10;0.07106256484985352;585;29;0;516;True
6_Fattahi;10;0.15542912483215332;1705;85;0;516;True
6_Fattahi;10;0.08263635635375977;725;36;0;516;True
6_Fattahi;10;0.03992152214050293;185;9;0;516;True
6_Fattahi;10;0.03403115272521973;105;5;0;516;True
6_Fattahi;10;0.03903508186340332;185;9;0;516;True
6_Fattahi;10;0.16739463806152344;1865;93;0;516;True
6_Fattahi;10;0.0505518913269043;325;16;0;516;True
6_Fattahi;10;0.03494071960449219;125;6;0;516;True
6_Fattahi;10;0.06505894660949707;285;14;0;516;True
6_Fattahi;10;0.031028032302856445;65;3;0;516;True
6_Fattahi;10;0.05604982376098633;405;20;0;516;True
6_Fattahi;10;0.04003739356994629;305;15;0;516;False
6_Fattahi;10;0.02902698516845703;85;4;0;516;False
6_Fattahi;10;0.02902698516845703;65;3;0;516;False
6_Fattahi;10;0.06305718421936035;845;42;0;516;False
6_Fattahi;10;0.029025793075561523;85;4;0;516;False
6_Fattahi;10;0.02902674674987793;85;4;0;516;False
6_Fattahi;10;0.031027793884277344;125;6;0;516;False
6_Fattahi;10;0.05304884910583496;585;29;0;516;False
6_Fattahi;10;0.032029151916503906;125;6;0;516;False
6_Fattahi;10;0.09208345413208008;1425;71;0;516;False
6_Fattahi;10;0.09478211402893066;1525;76;0;516;False
6_Fattahi;10;0.028025388717651367;65;3;0;516;False
6_Fattahi;10;0.03402972221374512;225;11;0;516;False
6_Fattahi;10;0.06505870819091797;925;46;0;516;False
6_Fattahi;10;0.07707023620605469;1205;60;0;516;False
6_Fattahi;10;0.03678536415100098;265;13;0;516;False
6_Fattahi;10;0.03102731704711914;145;7;0;516;False
6_Fattahi;10;0.03503084182739258;225;11;0;516;False
6_Fattahi;10;0.03503131866455078;225;11;0;516;False
6_Fattahi;10;0.032029151916503906;145;7;0;516;False
6_Fattahi;10;0.03603243827819824;225;11;0;516;False
6_Fattahi;10;0.02702617645263672;25;1;0;516;False
6_Fattahi;10;0.042037248611450195;365;18;0;516;False
6_Fattahi;10;0.04003572463989258;305;15;0;516;False
6_Fattahi;10;0.03602862358093262;225;11;0;516;False
6_Fattahi;10;0.029025554656982422;65;3;0;516;False
6_Fattahi;10;0.05805158615112305;725;36;0;516;False
6_Fattahi;10;0.03102731704711914;125;6;0;516;False
6_Fattahi;10;0.030026912689208984;105;5;0;516;False
6_Fattahi;10;0.06605982780456543;885;44;0;516;False
6_Fattahi;15;14.729708671569824;59855;628;4;514;True
6_Fattahi;15;148.79810905456543;526120;1939;11;514;True
6_Fattahi;15;27.26834535598755;93910;760;5;514;True
6_Fattahi;15;67.35578536987305;244240;1067;7;514;True
6_Fattahi;15;7.588099002838135;42900;651;3;514;True
6_Fattahi;15;80.46721696853638;279375;1146;8;514;True
6_Fattahi;15;181.7942488193512;617630;2170;13;514;True
6_Fattahi;15;27.44852900505066;95370;806;5;514;True
6_Fattahi;15;174.36290502548218;532725;1806;14;514;True
6_Fattahi;15;132.67411279678345;437400;1675;11;514;True
6_Fattahi;15;97.2447247505188;373755;1461;8;514;True
6_Fattahi;15;107.25142455101013;389270;1535;9;514;True
6_Fattahi;15;35.891658306121826;149750;938;5;514;True
6_Fattahi;15;63.8144006729126;228460;1138;7;514;True
6_Fattahi;15;43.95289754867554;152065;889;6;514;True
6_Fattahi;15;89.3687334060669;289110;1364;9;514;True
6_Fattahi;15;90.21244931221008;290530;1236;9;514;True
6_Fattahi;15;167.73687362670898;546610;1879;13;514;True
6_Fattahi;15;13.647673606872559;53835;672;4;514;True
6_Fattahi;15;62.72317624092102;217100;1059;7;514;True
6_Fattahi;15;312.088330745697;1018260;3033;19;514;True
6_Fattahi;15;47.73536443710327;174765;1078;6;514;True
6_Fattahi;15;34.71733641624451;137750;845;5;514;True
6_Fattahi;15;35.695611000061035;144670;837;5;514;True
6_Fattahi;15;20.027607202529907;95955;910;4;514;True
6_Fattahi;15;114.19140362739563;380905;1403;10;514;True
6_Fattahi;15;94.56491136550903;317370;1424;9;514;True
6_Fattahi;15;14.342470169067383;57975;607;4;514;True
6_Fattahi;15;88.63831901550293;283970;1257;9;514;True
6_Fattahi;15;412.23398447036743;1217670;3744;25;514;True
6_Fattahi;15;61.90458536148071;252155;1224;8;514;False
6_Fattahi;15;198.47955012321472;796795;2495;16;514;False
6_Fattahi;15;493.5995988845825;1661075;4625;32;514;False
6_Fattahi;15;11.978513717651367;64855;686;4;514;False
6_Fattahi;15;38.771796464920044;172885;927;6;514;False
6_Fattahi;15;253.04613828659058;945015;2870;20;514;False
6_Fattahi;15;106.96108818054199;437540;1567;11;514;False
6_Fattahi;15;1.8695333003997803;17085;410;2;514;False
6_Fattahi;15;58.78052520751953;226735;1095;8;514;False
6_Fattahi;15;67.73609018325806;302055;1260;8;514;False
6_Fattahi;15;83.46516060829163;362670;1425;9;514;False
6_Fattahi;15;12.039330005645752;64895;665;4;514;False
6_Fattahi;15;57.97715091705322;275740;1266;7;514;False
6_Fattahi;15;40.169249296188354;189785;1020;6;514;False
6_Fattahi;15;63.986220836639404;252875;1085;8;514;False
6_Fattahi;15;38.777100563049316;167385;869;6;514;False
6_Fattahi;15;43.37197470664978;221385;1273;6;514;False
6_Fattahi;15;305.20035004615784;1135605;3366;22;514;False
6_Fattahi;15;112.3537449836731;482920;1795;11;514;False
6_Fattahi;15;37.633704662323;161845;879;6;514;False
6_Fattahi;15;10.5040864944458;50515;672;4;514;False
6_Fattahi;15;10.546915531158447;50115;579;4;514;False
6_Fattahi;15;76.49462580680847;299670;1294;9;514;False
6_Fattahi;15;35.087942123413086;147845;936;6;514;False
6_Fattahi;15;86.95938777923584;399610;1630;9;514;False
6_Fattahi;15;5.0980072021484375;40340;692;3;514;False
6_Fattahi;15;4.3226478099823;31460;596;3;514;False
6_Fattahi;15;4.378307819366455;30560;447;3;514;False
6_Fattahi;15;42.59810209274292;213125;1179;6;514;False
6_Fattahi;15;4.811755418777466;36020;544;3;514;False
1_Brandimarte;1;573.5074038505554;630270;2091;17;40;True
1_Brandimarte;1;110.60313606262207;134745;795;6;40;True
1_Brandimarte;1;1005.8498413562775;1038045;3115;26;40;True
1_Brandimarte;1;15.157570600509644;26320;487;3;40;True
1_Brandimarte;1;70.71647024154663;88930;745;5;40;True
1_Brandimarte;1;388.7424302101135;432810;1536;13;40;True
1_Brandimarte;1;16.329845666885376;28540;481;3;40;True
1_Brandimarte;1;613.7510085105896;665565;2125;18;40;True
1_Brandimarte;1;316.5735328197479;367040;1429;11;40;True
1_Brandimarte;1;318.7905628681183;370180;1367;11;40;True
1_Brandimarte;1;377.450496673584;446595;1516;12;40;True
1_Brandimarte;1;520.8942255973816;575900;1853;15;40;True
1_Brandimarte;1;189.32757186889648;218315;1033;8;40;True
1_Brandimarte;1;413.42153310775757;461970;1657;13;40;True
1_Brandimarte;1;836.2371520996094;874965;2643;22;40;True
1_Brandimarte;1;247.79905676841736;282970;1228;9;40;True
1_Brandimarte;1;209.73668503761292;246255;1072;8;40;True
1_Brandimarte;1;510.1474335193634;544140;1929;15;40;True
1_Brandimarte;1;161.91600441932678;195200;1029;7;40;True
1_Brandimarte;1;115.96546912193298;136945;803;6;40;True
1_Brandimarte;1;36.62098503112793;48355;671;4;40;True
1_Brandimarte;1;7.165471076965332;14045;319;2;40;True
1_Brandimarte;1;377.7248058319092;410595;1498;12;40;True
1_Brandimarte;1;545.4792256355286;580535;1936;16;40;True
1_Brandimarte;1;589.2265748977661;616630;1946;17;40;True
1_Brandimarte;1;83.37430000305176;105270;760;5;40;True
1_Brandimarte;1;1456.3308296203613;1375210;3847;33;40;True
1_Brandimarte;1;45.42538499832153;64395;672;4;40;True
1_Brandimarte;1;16.563568115234375;26900;458;3;40;True
1_Brandimarte;1;71.87353301048279;80770;669;5;40;True
1_Brandimarte;1;1800.109159708023;1994890;5401;45;42;False
1_Brandimarte;1;1801.082849264145;1956685;5366;46;42;False
1_Brandimarte;1;1805.6606738567352;1993945;5370;46;42;False
1_Brandimarte;1;1800.344435930252;1955825;5292;46;42;False
1_Brandimarte;1;94.97032499313354;169585;940;6;40;False
1_Brandimarte;1;1800.2560954093933;2008360;5377;47;42;False
1_Brandimarte;1;1812.249959230423;1898550;5155;45;42;False
1_Brandimarte;1;1409.1277112960815;1506480;4154;35;40;False
1_Brandimarte;1;528.9888920783997;683190;2181;17;40;False
1_Brandimarte;1;1814.2320456504822;1974265;5364;46;41;False
1_Brandimarte;1;1812.8572449684143;1982185;5389;46;42;False
1_Brandimarte;1;1800.033599615097;1986110;5402;45;41;False
1_Brandimarte;1;644.2275893688202;860810;2670;21;40;False
1_Brandimarte;1;889.441956281662;1118720;3251;27;40;False
